02 Oct 2015 19:02:53 | ABUNDANT |    version |    DEBUG | Version record found: 7ad758eb-0aca-4247-88f8-fefdcbfa01a0
02 Oct 2015 19:02:53 | ABUNDANT |    version |    DEBUG | Version record found: 52be935a-1aa9-4d61-89c3-2d3baa7c4598
02 Oct 2015 19:02:53 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 19:02:53 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 19:02:53 | ABUNDANT |    archive |    DEBUG | Found 4 versions
02 Oct 2015 19:03:29 | ABUNDANT |    version |    DEBUG | Migrating version 7ad758eb-0aca-4247-88f8-fefdcbfa01a0 to 52be935a-1aa9-4d61-89c3-2d3baa7c4598...
02 Oct 2015 19:03:29 | ABUNDANT |    version |    DEBUG | Copied D:/b\archive\52be935a-1aa9-4d61-89c3-2d3baa7c4598\a.ini
02 Oct 2015 19:03:29 | ABUNDANT |    version |     INFO | Copied 1 file
02 Oct 2015 19:03:29 | ABUNDANT |    version |     INFO | Version 52be935a-1aa9-4d61-89c3-2d3baa7c4598 is now base version
02 Oct 2015 19:03:29 | ABUNDANT |    version |    DEBUG | Version record found: 52be935a-1aa9-4d61-89c3-2d3baa7c4598
02 Oct 2015 19:03:29 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 19:03:29 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 19:03:29 | ABUNDANT |    archive |    DEBUG | Found 3 versions
02 Oct 2015 19:03:29 | ABUNDANT |    version |     INFO | Removed version 7ad758eb-0aca-4247-88f8-fefdcbfa01a0
02 Oct 2015 19:03:29 | ABUNDANT |    version |    DEBUG | Version record found: 52be935a-1aa9-4d61-89c3-2d3baa7c4598
02 Oct 2015 19:03:29 | ABUNDANT |    version |     INFO | Migrated 7ad758eb-0aca-4247-88f8-fefdcbfa01a0 to 52be935a-1aa9-4d61-89c3-2d3baa7c4598
